CLIENTNUM,churn_probability,risk_tier,top_driver,Total_Trans_Ct,Total_Trans_Amt,Months_Inactive_12_mon,Contacts_Count_12_mon,Total_Revolving_Bal,Credit_Limit,Avg_Utilization_Ratio,Card_Category,Income_Category,Gender,Customer_Age
768805383,0.0030187445,Stable,Total_Amt_Chng_Q4_Q1,42,1144,1,3,777,12691.0,0.061,0,2,1,45
818770008,0.0005762777,Stable,Total_Trans_Amt,33,1291,1,2,864,8256.0,0.105,0,4,0,49
713982108,0.00083179126,Stable,Total_Amt_Chng_Q4_Q1,20,1887,1,0,0,3418.0,0.0,0,3,1,51
769911858,0.0010450438,Stable,Total_Amt_Chng_Q4_Q1,20,1171,4,1,2517,3313.0,0.76,0,4,0,40
709106358,0.33368048,Stable,Total_Trans_Amt,28,816,1,0,0,4716.0,0.0,0,2,1,40
713061558,0.005127308,Stable,Total_Amt_Chng_Q4_Q1,24,1088,1,2,1247,4010.0,0.311,0,1,1,44
810347208,0.0013508821,Stable,Total_Trans_Amt,31,1330,1,3,2264,34516.0,0.066,1,0,1,51
818906208,0.009368932,Stable,Total_Amt_Chng_Q4_Q1,36,1538,2,2,1396,29081.0,0.048,3,2,1,32
710930508,0.00040472238,Stable,Total_Ct_Chng_Q4_Q1,24,1350,2,0,2517,22352.0,0.113,0,2,1,37
719661558,0.0012343628,Stable,Total_Trans_Amt,32,1441,3,3,1677,11656.0,0.144,0,3,1,48
708790833,0.002179317,Stable,Total_Trans_Amt,42,1201,3,2,1467,6748.0,0.217,0,0,1,42
710821833,0.00029051295,Stable,Total_Trans_Amt,26,1314,2,3,1587,9095.0,0.174,0,1,1,65
710599683,0.001563624,Stable,Total_Ct_Chng_Q4_Q1,17,1539,6,0,0,11751.0,0.0,0,3,1,56
816082233,0.00031873802,Stable,Total_Amt_Chng_Q4_Q1,33,1311,1,3,1666,8547.0,0.195,0,2,1,35
712396908,0.0018852483,Stable,Total_Trans_Amt,29,1570,2,2,680,2436.0,0.279,0,4,0,57
714885258,0.00010365683,Stable,Total_Trans_Amt,27,1348,1,2,972,4234.0,0.23,0,3,1,44
709967358,0.0022977064,Stable,Total_Amt_Chng_Q4_Q1,27,1671,2,3,2362,30367.0,0.078,0,3,1,48
753327333,0.013789526,Stable,Total_Ct_Chng_Q4_Q1,21,1028,4,1,1291,13535.0,0.095,0,3,1,41
806160108,0.0031068043,Stable,Total_Amt_Chng_Q4_Q1,30,1336,2,3,2517,3193.0,0.788,0,1,1,61
709327383,0.0025665981,Stable,Total_Trans_Amt,21,1207,1,2,1157,14470.0,0.08,0,5,0,45
806165208,0.0027580722,Stable,Contacts_Count_12_mon,27,1178,2,0,1800,20979.0,0.086,0,2,1,47
708508758,0.9978567,Critical,Total_Trans_Amt,16,692,3,3,0,1438.3,0.0,0,4,0,62
784725333,0.045791864,Stable,Total_Amt_Chng_Q4_Q1,18,931,2,1,680,4470.0,0.152,0,1,1,41
